CLASS,ORDER,CLADE,GROUP,"FAMILY, SUBFAMILY, TRIBE",,GENUS,SPECIES,SUBSPECIES,COMMON NAME,SECONDARY COMMON NAMES,AUTHOR_YEAR,GENUS SPECIES SUBSPECIES,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,glandulosa,,Glandular Toadlet,,"Davies, Mahony & Roberts, 1985",Uperoleia glandulosa,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,gurrumuli,,Gurrumul's Toadlet,,"Catullo & Keogh, 2021",Uperoleia gurrumuli,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,inundata,,Floodplain Toadlet,Floodplain Gungan,"Tyler, Davies & Martin, 1981",Uperoleia inundata,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,laevigata,,Eastern Toadlet,"Smooth Toadlet, Eastern Gungan","Keferstein, 1867",Uperoleia laevigata,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,lithomoda,,Stonemason Toadlet,Stonemason Gungan,"Tyler, Davies & Martin, 1981",Uperoleia lithomoda,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,littlejohni,,Einasleigh Toadlet,"Littlejohn's Toadlet, Einasleigh Gungan","Davies, McDonald & Corben, 1986",Uperoleia littlejohni,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,mahonyi,,Mahony's Toadlet,,"Clulow, Anstis, Keogh & Catullo, 2016",Uperoleia mahonyi,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,marmorata,,Marbled Toadlet,,"Gray, 1841",Uperoleia marmorata,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,martini,,Martin's Toadlet,,"Davies & Littlejohn, 1986",Uperoleia martini,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,micra,,Tiny Toadlet,,"Doughty & Roberts, 2008",Uperoleia micra,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,micromeles,,Tanami Toadlet,,"Tyler, Davies & Martin, 1981",Uperoleia micromeles,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,mimula,,Mimic Toadlet,Mimicking Gungan,"Davies, McDonald & Corben, 1986",Uperoleia mimula,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,minima,,Small Toadlet,,"Tyler, Davies & Martin, 1981",Uperoleia minima,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,mjobergii,,West Kimberley Toadlet,,"Andersson, 1913",Uperoleia mjobergii,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,orientalis,,Alexandria Toadlet,,"Parker, 1940",Uperoleia orientalis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,rugosa,,Chubby Toadlet,"Wrinkled Toadlet, Chubby Gungan","Andersson, 1916",Uperoleia rugosa,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,russelli,,Western Toadlet,,"Loveridge, 1933",Uperoleia russelli,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,saxatilis,,Pilbara Toadlet,,"Catullo, Doughty, Roberts & Keogh, 2011",Uperoleia saxatilis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,stridera,,Ratcheting Toadlet,,"Catullo, Doughty & Keogh, 2014",Uperoleia stridera,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,talpa,,Mole Toadlet,,"Tyler, Davies & Martin, 1981",Uperoleia talpa,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,trachyderma,,Blacksoil Toadlet,Orange Shouldered Gungan,"Tyler, Davies & Martin, 1981",Uperoleia trachyderma,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Uperoleia,tyleri,,Tyler's Toadlet,,"Davies & Littlejohn, 1986",Uperoleia tyleri,,,,,,,,,,,,
Amphibia,Anura,Ranidae,"Amphibian - Frog, Ranid",RANIDAE,,Papurana,daemeli,,Wood Frog,Australian Wood Frog,"Steindachner, 1868",Papurana daemeli,,,,,,,,,,,,
Amphibia,Anura,Bufonidae,"Amphibian - Frog, Toad",BUFONIDAE,,Rhinella,marina,,Cane Toad,,"Linnaeus, 1758",Rhinella marina,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
